station_uid,station_num,routes,direction,station,lat,lon,station_uid2,station_num2,station2,lat2,lon2,distance_km
0_0_6,0,6,0,ท่าน้ำพระประแดง,13.6594,100.535141,1_0_6,1,ป้ายกลางตลาด,13.659541,100.533023,0.22938619949205313
1_0_6,1,6,0,ป้ายกลางตลาด,13.659541,100.533023,2_0_6,2,วัดพญาปราบ,13.660282,100.531442,0.18965955109460195
2_0_6,2,6,0,วัดพญาปราบ,13.660282,100.531442,3_0_6,3,วัดกลาง,13.660546,100.529004,0.2650552939102403
3_0_6,3,6,0,วัดกลาง,13.660546,100.529004,4_0_6,4,ปากซอยพระราชวิริยาภรณ์,13.661442,100.526945,0.24376355615333595
4_0_6,4,6,0,ปากซอยพระราชวิริยาภรณ์,13.661442,100.526945,5_0_6,5,ใต้สะพานภูมิพล,13.664029,100.526899,0.2877042099702137
5_0_6,5,6,0,ใต้สะพานภูมิพล,13.664029,100.526899,6_0_6,6,ซอยพระราชวิริยาภรณ์ 9,13.665206,100.52664,0.13383483052327388
6_0_6,6,6,0,ซอยพระราชวิริยาภรณ์ 9,13.665206,100.52664,7_0_6,7,วัดไพชยนต์พลเสพย์,13.665963,100.526443,0.08682407397543865
7_0_6,7,6,0,วัดไพชยนต์พลเสพย์,13.665963,100.526443,8_0_6,8,ซอยพระราชวิริยาภรณ์ 11,13.666099,100.525107,0.14514066798356948
8_0_6,8,6,0,ซอยพระราชวิริยาภรณ์ 11,13.666099,100.525107,9_0_6,9,โรงเรียนพลอยจตุรจินดา,13.667131,100.523394,0.21777132310505395
9_0_6,9,6,0,โรงเรียนพลอยจตุรจินดา,13.667131,100.523394,10_0_6,10,วัดบางพึ่ง,13.667877,100.521974,0.17441438000567225
10_0_6,10,6,0,วัดบางพึ่ง,13.667877,100.521974,11_0_6,11,วัดรวก,13.667667,100.520077,0.20628937290878646
11_0_6,11,6,0,วัดรวก,13.667667,100.520077,12_0_6,12,ซอยสุดเขต,13.668694,100.519251,0.1449339068563847
12_0_6,12,6,0,ซอยสุดเขต,13.668694,100.519251,13_0_6,13,ซอยราษฎร์บูรณะ 48,13.670155,100.518961,0.16544984064483637
13_0_6,13,6,0,ซอยราษฎร์บูรณะ 48,13.670155,100.518961,14_0_6,14,วัดแจงร้อน,13.673517,100.518026,0.3872462784059123
14_0_6,14,6,0,วัดแจงร้อน,13.673517,100.518026,15_0_6,15,เซปเตอร์วัน,13.675227,100.517041,0.21789957061926857
15_0_6,15,6,0,เซปเตอร์วัน,13.675227,100.517041,16_0_6,16,ซอยราษฎร์บูรณะ 36,13.676682,100.515093,0.26546511040823123
16_0_6,16,6,0,ซอยราษฎร์บูรณะ 36,13.676682,100.515093,17_0_6,17,สวนใต้สะพานพระราม 9,13.677456,100.513827,0.16160508794472844
17_0_6,17,6,0,สวนใต้สะพานพระราม 9,13.677456,100.513827,18_0_6,18,การไฟฟ้านครหลวงราษฎร์บูรณะ ธนาคารกสิกรไทยสำนักงานใหญ่,13.678234,100.512525,0.16514230611764957
18_0_6,18,6,0,การไฟฟ้านครหลวงราษฎร์บูรณะ ธนาคารกสิกรไทยสำนักงานใหญ่,13.678234,100.512525,19_0_6,19,ซอยราษฎร์บูรณะ 28 ซอยโรงแก้ว,13.679326,100.510559,0.24466605535912156
19_0_6,19,6,0,ซอยราษฎร์บูรณะ 28 ซอยโรงแก้ว,13.679326,100.510559,20_0_6,20,ซอยราษฎร์บูรณะ 26,13.680158,100.50909,0.18370703850618011
20_0_6,20,6,0,ซอยราษฎร์บูรณะ 26,13.680158,100.50909,21_0_6,21,อนามัย 39,13.681202,100.506824,0.27094778976892586
21_0_6,21,6,0,อนามัย 39,13.681202,100.506824,22_0_6,22,ป้ายธนาคารธกส,13.682158,100.502317,0.4984034759817468
22_0_6,22,6,0,ป้ายธนาคารธกส,13.682158,100.502317,23_0_6,23,บิ๊กซีราษฎร์บูรณะ,13.682497,100.500136,0.23863009243873579
23_0_6,23,6,0,บิ๊กซีราษฎร์บูรณะ,13.682497,100.500136,24_0_6,24,โรงเรียนวัดบางปะกอก,13.684506,100.495558,0.5427104562951002
24_0_6,24,6,0,โรงเรียนวัดบางปะกอก,13.684506,100.495558,25_0_6,25,ราษฎร์บูรณะ 12,13.685579,100.49392,0.21343045865780735
25_0_6,25,6,0,ราษฎร์บูรณะ 12,13.685579,100.49392,26_0_6,26,ไอวี่,13.687291,100.492225,0.26414652137634703
26_0_6,26,6,0,ไอวี่,13.687291,100.492225,27_0_6,27,ราษฎร์บูรณะ 6,13.689376,100.488778,0.43867305962706377
27_0_6,27,6,0,ราษฎร์บูรณะ 6,13.689376,100.488778,28_0_6,28,โรงเรียนวัดดาวคะนอง,13.696825,100.486202,0.8737935390530216
28_0_6,28,6,0,โรงเรียนวัดดาวคะนอง,13.696825,100.486202,29_0_6,29,วัดบุคคโล,13.700706,100.487411,0.45087955603333196
29_0_6,29,6,0,วัดบุคคโล,13.700706,100.487411,30_0_6,30,มาสด้า,13.704208,100.489187,0.434104662333411
30_0_6,30,6,0,มาสด้า,13.704208,100.489187,31_0_6,31,สน.บุคคโล/สน.สำเหร่,13.706538,100.490999,0.32471835292045176
31_0_6,31,6,0,สน.บุคคโล/สน.สำเหร่,13.706538,100.490999,32_0_6,32,เจริญนคร 56,13.708055,100.493287,0.2992421796733851
32_0_6,32,6,0,เจริญนคร 56,13.708055,100.493287,33_0_6,33,โรงเรียนเกื้อวิทยา,13.709167,100.495228,0.24342389561245142
33_0_6,33,6,0,โรงเรียนเกื้อวิทยา,13.709167,100.495228,34_0_6,34,สมาคมตระกูลลิ้ม,13.70982,100.496346,0.14092071948412757
34_0_6,34,6,0,สมาคมตระกูลลิ้ม,13.70982,100.496346,35_0_6,35,ซอยเจริญนคร 40/38,13.711222,100.498951,0.3217054203707195
35_0_6,35,6,0,ซอยเจริญนคร 40/38,13.711222,100.498951,36_0_6,36,ซอยเจริญนคร 34,13.711812,100.500357,0.16544772949997527
36_0_6,36,6,0,ซอยเจริญนคร 34,13.711812,100.500357,37_0_6,37,ซอยเจริญนคร 32,13.712452,100.501823,0.17362066333470316
37_0_6,37,6,0,ซอยเจริญนคร 32,13.712452,100.501823,38_0_6,38,สำนักงานที่ดินเขตธนบุรี (วัดเศวกฉัตร),13.714136,100.504059,0.3056257525514494
38_0_6,38,6,0,สำนักงานที่ดินเขตธนบุรี (วัดเศวกฉัตร),13.714136,100.504059,39_0_6,39,ซอยเจริญนคร 24,13.715646,100.505788,0.251150391618165
39_0_6,39,6,0,ซอยเจริญนคร 24,13.715646,100.505788,40_0_6,40,คลองต้นไทร ซอยเจริญนคร 18,13.717765,100.507549,0.30282844836468387
40_0_6,40,6,0,คลองต้นไทร ซอยเจริญนคร 18,13.717765,100.507549,41_0_6,41,ท่าน้ำเป๊ปซี่ ใต้สะพานตากสิน,13.720243,100.508608,0.2983442406643261
41_0_6,41,6,0,ท่าน้ำเป๊ปซี่ ใต้สะพานตากสิน,13.720243,100.508608,42_0_6,42,วัดสุวรรณ,13.723647,100.508949,0.3802956554696526
42_0_6,42,6,0,วัดสุวรรณ,13.723647,100.508949,43_0_6,43,คลองสาน ไอคอนสยาม,13.727762,100.508806,0.45782777928932195
43_0_6,43,6,0,คลองสาน ไอคอนสยาม,13.727762,100.508806,44_0_6,44,โรงพยาบาลตากสิน,13.730466,100.507276,0.34309827662460934
44_0_6,44,6,0,โรงพยาบาลตากสิน,13.730466,100.507276,45_0_6,45,โรงพยาบาลสมเด็จเจ้าพระยา,13.731219,100.505247,0.234616182761978
45_0_6,45,6,0,โรงพยาบาลสมเด็จเจ้าพระยา,13.731219,100.505247,46_0_6,46,วัฒนาบริหารธุรกิจ,13.731679,100.503897,0.15453338370393863
46_0_6,46,6,0,วัฒนาบริหารธุรกิจ,13.731679,100.503897,47_0_6,47,ซอยสมเด็จเจ้าพระยา12,13.732742,100.500752,0.3596880346205232
47_0_6,47,6,0,ซอยสมเด็จเจ้าพระยา12,13.732742,100.500752,48_0_6,48,ซอยสมเด็จพระยา6,13.733276,100.499196,0.17825355782335622
48_0_6,48,6,0,ซอยสมเด็จพระยา6,13.733276,100.499196,49_0_6,49,ถนนพญาไม้,13.736036,100.497213,0.3742534805132911
49_0_6,49,6,0,ถนนพญาไม้,13.736036,100.497213,50_0_6,50,ใต้สะพานพุด,13.738333,100.497288,0.255543186190185
50_0_6,50,6,0,ใต้สะพานพุด,13.738333,100.497288,51_0_6,51,วัดเลียบ โรงเรียนสวนกุหลาบวิทยาลัย,13.743045,100.498781,0.5482059985012736
51_0_6,51,6,0,วัดเลียบ โรงเรียนสวนกุหลาบวิทยาลัย,13.743045,100.498781,52_0_6,52,บ้านหม้อ,13.746296,100.499506,0.3698790822170114
52_0_6,52,6,0,บ้านหม้อ,13.746296,100.499506,53_0_6,53,ก่อนสี่กั๊กพระยาศรี,13.747131,100.498526,0.14080075034852887
53_0_6,53,6,0,ก่อนสี่กั๊กพระยาศรี,13.747131,100.498526,54_0_6,54,หน่วยบัญชาการรักษาดินแดน (รด.),13.74731,100.495131,0.3672323549529722
54_0_6,54,6,0,หน่วยบัญชาการรักษาดินแดน (รด.),13.74731,100.495131,55_0_6,55,สนามหลวง (ศาลฎีกา),13.754647,100.493878,0.826985821629559
55_0_6,55,6,0,สนามหลวง (ศาลฎีกา),13.754647,100.493878,56_0_6,56,โรงละครแห่งชาติ,13.759761,100.492177,0.597591449351838
56_0_6,56,6,0,โรงละครแห่งชาติ,13.759761,100.492177,57_0_6,57,ป้ายพระอาทิตย์,13.762042,100.49334,0.28303419334528707
